neis_code,name,region,gu,office_code,address
7003849,한국교원대학교부설월곡초등학교,충청북도교육청,청주시,M10,충청북도 청주시 흥덕구 강내면 가로수로 562
7003915,청주교육대학교부설초등학교,충청북도교육청,청주시,M10,충청북도 청주시 서원구 청남로 2067
7004088,대구교육대학교대구부설초등학교,대구광역시교육청,달서구,D10,대구광역시 달서구 도원남로 19
7004178,경북대학교사범대학부설초등학교,대구광역시교육청,중구,D10,대구광역시 중구 달구벌대로 2150
7004258,경인교육대학교부설초등학교,인천광역시교육청,계양구,E10,인천광역시 계양구 안남로 612
7004261,춘천교육대학교부설초등학교,강원특별자치도교육청,춘천시,K10,강원특별자치도 춘천시 공지로 316
7004442,공주교육대학교부설초등학교,충청남도교육청,공주시,N10,충청남도 공주시 하선길 47
7004971,부산교육대학교부설초등학교,부산광역시교육청,연제구,C10,부산광역시 연제구 교대로 24
7005347,전주교육대학교전주부설초등학교,전북특별자치도교육청,전주시,P10,전라북도 전주시 완산구 팔달로 74
7005348,전주교육대학교군산부설초등학교,전북특별자치도교육청,군산시,P10,전라북도 군산시 팔마로 185
7006149,광주교육대학교광주부설초등학교,전남광주통합특별시교육청(광주),북구,F10,전남광주통합특별시 북구 필문대로 55
7006150,광주교육대학교목포부설초등학교,전남광주통합특별시교육청(전남),목포시,Q10,전남광주통합특별시 목포시 안태길 13
7006350,진주교육대학교부설초등학교,경상남도교육청,진주시,S10,경상남도 진주시 진양호로369번길 3
7021079,경희초등학교,서울특별시교육청,동대문구,B10,서울특별시 동대문구 경희대로 26
7021080,금성초등학교,서울특별시교육청,중랑구,B10,서울특별시 중랑구 신내로21길 55
7021082,서울군자초등학교,서울특별시교육청,동대문구,B10,서울특별시 동대문구 한천로6길 21
7021083,서울답십리초등학교,서울특별시교육청,동대문구,B10,서울특별시 동대문구 전농로3길 23
7021084,서울동답초등학교,서울특별시교육청,동대문구,B10,서울특별시 동대문구 답십리로60길 12
7021085,서울동원초등학교,서울특별시교육청,중랑구,B10,서울특별시 중랑구 송림길 114
7021086,서울망우초등학교,서울특별시교육청,중랑구,B10,서울특별시 중랑구 망우로72길 49
7021087,서울면남초등학교,서울특별시교육청,중랑구,B10,서울특별시 중랑구 면목로30나길 38
7021088,서울면동초등학교,서울특별시교육청,중랑구,B10,서울특별시 중랑구 면목로57길 32
7021089,서울면목초등학교,서울특별시교육청,중랑구,B10,서울특별시 중랑구 면목로 434
7021090,서울면북초등학교,서울특별시교육청,중랑구,B10,서울특별시 중랑구 용마공원로5길 32
7021091,서울면일초등학교,서울특별시교육청,중랑구,B10,서울특별시 중랑구 용마산로100길 13
7021092,서울면중초등학교,서울특별시교육청,중랑구,B10,서울특별시 중랑구 용마산로70길 43
7021093,서울묵동초등학교,서울특별시교육청,중랑구,B10,서울특별시 중랑구 동일로138길 27
7021094,서울묵현초등학교,서울특별시교육청,중랑구,B10,서울특별시 중랑구 동일로157길 75
7021095,서울배봉초등학교,서울특별시교육청,동대문구,B10,서울특별시 동대문구 사가정로 193
7021096,서울봉화초등학교,서울특별시교육청,중랑구,B10,서울특별시 중랑구 신내로15길 110
7021097,서울상봉초등학교,서울특별시교육청,중랑구,B10,서울특별시 중랑구 동일로126가길 11
7021098,서울신내초등학교,서울특별시교육청,중랑구,B10,서울특별시 중랑구 용마산로125나길 22
7021099,서울신답초등학교,서울특별시교육청,동대문구,B10,서울특별시 동대문구 천호대로 177
7021100,서울신묵초등학교,서울특별시교육청,중랑구,B10,서울특별시 중랑구 동일로149길 46
7021101,서울신현초등학교,서울특별시교육청,중랑구,B10,서울특별시 중랑구 봉화산로 188
7021102,서울안평초등학교,서울특별시교육청,동대문구,B10,서울특별시 동대문구 장한로14길 61
7021103,서울용두초등학교,서울특별시교육청,동대문구,B10,서울특별시 동대문구 천호대로13길 43
7021104,서울원묵초등학교,서울특별시교육청,중랑구,B10,서울특별시 중랑구 숙선옹주로 109
7021105,서울이문초등학교,서울특별시교육청,동대문구,B10,서울특별시 동대문구 신이문로 16
7021106,서울장평초등학교,서울특별시교육청,동대문구,B10,서울특별시 동대문구 답십리로
7021107,서울전곡초등학교,서울특별시교육청,동대문구,B10,서울특별시 동대문구 전농로 172
7021108,서울전농초등학교,서울특별시교육청,동대문구,B10,서울특별시 동대문구 사가정로 66
7021109,서울전동초등학교,서울특별시교육청,동대문구,B10,서울특별시 동대문구 전농로16길 61
7021110,서울종암초등학교,서울특별시교육청,동대문구,B10,서울특별시 동대문구 무학로44길 25
7021111,서울중곡초등학교,서울특별시교육청,중랑구,B10,서울특별시 중랑구 면목로23길 20
7021112,서울중랑초등학교,서울특별시교육청,중랑구,B10,서울특별시 중랑구 봉우재로6길 26
7021113,서울중목초등학교,서울특별시교육청,중랑구,B10,서울특별시 중랑구 동일로 665
7021114,서울중화초등학교,서울특별시교육청,중랑구,B10,서울특별시 중랑구 신내로7가길 22
7021115,서울중흥초등학교,서울특별시교육청,중랑구,B10,서울특별시 중랑구 봉화산로 82
7021116,서울청량초등학교,서울특별시교육청,동대문구,B10,서울특별시 동대문구 회기로25길 31
7021117,서울홍릉초등학교,서울특별시교육청,동대문구,B10,서울특별시 동대문구 회기로 90
7021118,서울홍파초등학교,서울특별시교육청,동대문구,B10,서울특별시 동대문구 고산자로 518
7021119,서울휘경초등학교,서울특별시교육청,동대문구,B10,서울특별시 동대문구 망우로6길 48
7021120,서울휘봉초등학교,서울특별시교육청,동대문구,B10,서울특별시 동대문구 장안벚꽃로 309
7021121,은석초등학교,서울특별시교육청,동대문구,B10,서울특별시 동대문구 장안벚꽃로 205
7021168,서울삼육초등학교,서울특별시교육청,동대문구,B10,서울특별시 동대문구 회기로10길 63
7021181,서울새솔초등학교,서울특별시교육청,중랑구,B10,서울특별시 중랑구 신내역로1길 164
7021205,서울양원숲초등학교,서울특별시교육청,중랑구,B10,서울특별시 중랑구 양원역로 95
7031110,경기초등학교,서울특별시교육청,서대문구,B10,서울특별시 서대문구 경기대로9길 10
7031111,명지초등학교,서울특별시교육청,서대문구,B10,서울특별시 서대문구 명지2길 32-20
7031112,서울갈현초등학교,서울특별시교육청,은평구,B10,서울특별시 은평구 연서로29길 31
7031113,서울고은초등학교,서울특별시교육청,서대문구,B10,서울특별시 서대문구 모래내로 441
7031114,서울공덕초등학교,서울특별시교육청,마포구,B10,서울특별시 마포구 만리재옛길 13
7031115,서울구산초등학교,서울특별시교육청,은평구,B10,서울특별시 은평구 서오릉로15길 16
7031116,서울구현초등학교,서울특별시교육청,은평구,B10,서울특별시 은평구 갈현로15길 51
7031117,서울금화초등학교,서울특별시교육청,서대문구,B10,서울특별시 서대문구 통일로 165
7031118,서울녹번초등학교,서울특별시교육청,은평구,B10,서울특별시 은평구 녹번로1길 1
7031119,서울대신초등학교,서울특별시교육청,서대문구,B10,서울특별시 서대문구 이화여대2길 27
7031120,서울대은초등학교,서울특별시교육청,은평구,B10,서울특별시 은평구 통일로69길 12-15
7031121,서울대조초등학교,서울특별시교육청,은평구,B10,서울특별시 은평구 연서로18길 17
7031122,서울동교초등학교,서울특별시교육청,마포구,B10,서울특별시 마포구 월드컵로25길 86
7031123,서울마포초등학교,서울특별시교육청,마포구,B10,서울특별시 마포구 도화2길 64
7031124,서울망원초등학교,서울특별시교육청,마포구,B10,서울특별시 마포구 방울내로5길 28
7031125,서울미동초등학교,서울특별시교육청,서대문구,B10,서울특별시 서대문구 충정로 52
7031126,서울북가좌초등학교,서울특별시교육청,서대문구,B10,서울특별시 서대문구 거북골로19길 20
7031127,서울북성초등학교,서울특별시교육청,서대문구,B10,서울특별시 서대문구 북아현로1나길 22
7031128,서울북한산초등학교,서울특별시교육청,은평구,B10,서울특별시 은평구 대서문길 42-3
7031129,서울불광초등학교,서울특별시교육청,은평구,B10,서울특별시 은평구 불광로 51
7031130,서울상신초등학교,서울특별시교육청,은평구,B10,서울특별시 은평구 가좌로 361
7031131,서울상암초등학교,서울특별시교육청,마포구,B10,서울특별시 마포구 월드컵북로 353
7031132,서울상지초등학교,서울특별시교육청,마포구,B10,서울특별시 마포구 월드컵로42길 30
7031133,서울서강초등학교,서울특별시교육청,마포구,B10,서울특별시 마포구 독막로 113
7031134,서울서교초등학교,서울특별시교육청,마포구,B10,서울특별시 마포구 와우산로23길 20-27
7031135,서울서신초등학교,서울특별시교육청,은평구,B10,서울특별시 은평구 은평터널로 150
7031136,서울성산초등학교,서울특별시교육청,마포구,B10,서울특별시 마포구 양화로3길 94
7031137,서울성서초등학교,서울특별시교육청,마포구,B10,서울특별시 마포구 성미산로7길 24
7031138,서울성원초등학교,서울특별시교육청,마포구,B10,서울특별시 마포구 월드컵로36길 34
7031139,서울소의초등학교,서울특별시교육청,마포구,B10,서울특별시 마포구 마포대로24길 42
7031140,서울수색초등학교,서울특별시교육청,은평구,B10,서울특별시 은평구 수색로16길 21
7031141,서울신도초등학교,서울특별시교육청,은평구,B10,서울특별시 은평구 진관1로 77-23
7031142,서울신북초등학교,서울특별시교육청,마포구,B10,서울특별시 마포구 월드컵북로38길 26
7031143,서울신사초등학교,서울특별시교육청,은평구,B10,서울특별시 은평구 가좌로 275-2
7031144,서울신석초등학교,서울특별시교육청,마포구,B10,서울특별시 마포구 대흥로 33
